Date,Ticker,Close,High,Low,Return,Volatility7,MA5,Close_MA5_diff,SMA20,EMA20,SMA50,EMA50,SMA200,EMA200,PrevClose,TR,ATR7,ATR7_pct
2020-03-31,EEM,30.61,30.98,30.42,0.0,0.0,,,,30.61,,30.61,,30.61,,0.5599999999999987,,
2020-04-01,EEM,29.3,29.89,29.25,-0.0428,0.0,,,,30.4852,,30.5586,,30.597,30.61,1.3599999999999994,,
2020-04-02,EEM,30.28,30.44,29.77,0.0334,0.0,,,,30.4657,,30.5477,,30.5938,29.3,1.1400000000000006,,
2020-04-03,EEM,29.71,30.37,29.55,-0.0188,0.0,,,,30.3937,,30.5148,,30.585,30.28,0.8200000000000003,,
2020-04-06,EEM,31.33,31.34,30.76,0.0545,0.0,30.246,3.583944984460754,,30.4829,,30.5468,,30.5924,29.71,1.629999999999999,,
2020-04-07,EEM,31.49,32.39,31.43,0.0051,0.0,30.422,3.510617316415745,,30.5788,,30.5838,,30.6014,31.33,1.0600000000000023,,
2020-04-08,EEM,31.82,31.9,31.33,0.0105,0.032,30.926,2.89077151911014,,30.697,,30.6323,,30.6135,31.49,0.5700000000000003,1.02,3.205531112507857
2020-04-09,EEM,31.7,32.36,31.62,-0.0038,0.0322,31.21,1.570009612303744,,30.7925,,30.6742,,30.6243,31.82,0.7399999999999984,1.0457142857142858,3.298783235691753
2020-04-13,EEM,31.75,31.79,31.39,0.0016,0.0246,31.618,0.4174837118097332,,30.8837,,30.7163,,30.6355,31.7,0.3999999999999986,0.9085714285714285,2.8616422947131603
2020-04-14,EEM,32.47,32.71,32.29,0.0227,0.0233,31.846,1.959429755699299,,31.0348,,30.7851,,30.6538,31.75,0.9600000000000009,0.8828571428571428,2.7189933565049054
2020-04-15,EEM,31.64,31.8,31.49,-0.0256,0.0248,31.876,-0.7403689296022106,,31.0924,,30.8186,,30.6636,32.47,0.9800000000000004,0.9057142857142857,2.8625609535849734
2020-04-16,EEM,31.81,32.12,31.7,0.0054,0.0148,31.874,-0.2007906130388406,,31.1608,,30.8575,,30.675,31.64,0.4799999999999969,0.7414285714285711,2.33080343108636
2020-04-17,EEM,32.52,32.71,32.28,0.0223,0.0167,32.038,1.5044634496535565,,31.2902,,30.9227,,30.6933,31.81,0.9000000000000021,0.7185714285714282,2.209629239149533
2020-04-20,EEM,32.1,32.5,32.04,-0.0129,0.0176,32.108,-0.024915908807759957,,31.3673,,30.9689,,30.7073,32.52,0.480000000000004,0.7057142857142858,2.198486871384068
2020-04-21,EEM,31.22,31.55,31.15,-0.0274,0.0208,31.858,-2.002636700357843,,31.3533,,30.9787,,30.7124,32.1,0.9500000000000028,0.7357142857142865,2.3565480003660686
2020-04-22,EEM,32.07,32.17,32.01,0.0272,0.0236,31.944,0.3944402704733322,,31.4216,,31.0215,,30.7259,31.22,0.9500000000000028,0.8142857142857157,2.539088600828549
2020-04-23,EEM,31.95,32.54,31.93,-0.0037,0.0217,31.972,-0.06881020893282253,,31.4719,,31.0579,,30.7381,32.07,0.6099999999999994,0.7642857142857155,2.3921305611446493
2020-04-24,EEM,31.91,32.05,31.61,-0.0013,0.0191,31.85,0.18838304552589866,,31.5136,,31.0913,,30.7498,31.95,0.4399999999999977,0.6871428571428579,2.1533778036441804
2020-04-27,EEM,32.55,32.62,32.28,0.0201,0.0204,31.94,1.909830932999361,,31.6123,,31.1486,,30.7677,31.91,0.7099999999999973,0.7200000000000009,2.2119815668202794
2020-04-28,EEM,32.62,33.05,32.6,0.0022,0.0186,32.22,1.2414649286157622,31.5425,31.7083,,31.2063,,30.7861,32.55,0.5,0.6628571428571435,2.0320574581764057
2020-04-29,EEM,33.57,33.63,33.11,0.0291,0.0202,32.52,3.2287822878228694,31.6905,31.8856,,31.2989,,30.8138,32.62,1.0100000000000051,0.7385714285714293,2.200093621005151
2020-04-30,EEM,32.86,33.5,32.64,-0.0211,0.0185,32.702,0.48315087762216763,31.8685,31.9784,,31.3602,,30.8342,33.57,0.9299999999999997,0.735714285714286,2.2389357447178515
2020-05-01,EEM,31.67,32.18,31.57,-0.0362,0.0224,32.654,-3.0134133643657792,31.938,31.949,,31.3723,,30.8425,32.86,1.2899999999999991,0.784285714285714,2.476431052370426
2020-05-04,EEM,32.02,32.05,31.67,0.0111,0.0229,32.548,-1.6222194912129735,32.0535,31.9558,,31.3977,,30.8542,31.67,0.37999999999999545,0.7514285714285707,2.346747568483981
2020-05-05,EEM,32.19,32.5,32.16,0.0053,0.0229,32.462,-0.8379027786334962,32.0965,31.9781,,31.4288,,30.8675,32.02,0.4799999999999969,0.7571428571428562,2.3521058003816595
2020-05-06,EEM,32.1,32.43,32.08,-0.0028,0.0214,32.168,-0.21139020144242052,32.127,31.9897,,31.4551,,30.8798,32.19,0.3500000000000014,0.7057142857142854,2.1984868713840666
2020-05-07,EEM,32.36,32.5,32.2,0.0081,0.0217,32.068,0.9105650492703057,32.154,32.025,,31.4906,,30.8945,32.1,0.3999999999999986,0.691428571428571,2.136676673141443
2020-05-08,EEM,33.04,33.14,32.74,0.021,0.02,32.342,2.158184404180324,32.221,32.1216,,31.5514,,30.9158,32.36,0.7800000000000011,0.6585714285714275,1.9932549290902768
2020-05-11,EEM,32.82,33.04,32.79,-0.0067,0.0184,32.502,0.9784013291489688,32.2745,32.1881,,31.6011,,30.9348,33.04,0.25,0.5614285714285704,1.710629407155912
2020-05-12,EEM,32.7,33.32,32.69,-0.0037,0.0098,32.604,0.2944423997055688,32.286,32.2369,,31.6442,,30.9524,32.82,0.6300000000000026,0.4671428571428566,1.4285714285714268
2020-05-13,EEM,32.63,33.14,32.42,-0.0021,0.0096,32.71,-0.24457352491592263,32.3355,32.2743,,31.6829,,30.9691,32.7,0.7199999999999989,0.5157142857142857,1.5804912219254847
2020-05-14,EEM,32.76,32.81,31.89,0.004,0.0096,32.79,-0.09149130832571253,32.383,32.3206,,31.7251,,30.9869,32.63,0.9200000000000017,0.5785714285714292,1.7660910518053394
2020-05-15,EEM,32.31,32.46,32.14,-0.0137,0.0113,32.644,-1.0231589266021202,32.3725,32.3196,,31.748,,31.0,32.76,0.6199999999999974,0.6171428571428572,1.9100676482292083
2020-05-18,EEM,33.58,33.65,33.1,0.0393,0.0185,32.796,2.390535431150137,32.4465,32.4396,,31.8199,,31.0257,32.31,1.3399999999999963,0.7514285714285711,2.237726537905215
2020-05-19,EEM,33.31,33.68,33.29,-0.008,0.0176,32.918,1.190837839479929,32.551,32.5225,,31.8783,,31.0484,33.58,0.39000000000000057,0.6957142857142854,2.0886048805592474
2020-05-20,EEM,33.75,34.0,33.56,0.0132,0.0177,33.142,1.8345302033673194,32.635,32.6394,,31.9517,,31.0753,33.31,0.6899999999999977,0.7585714285714279,2.2476190476190454
2020-05-21,EEM,33.36,33.66,33.2,-0.0116,0.0185,33.262,0.2946305092898773,32.7055,32.708,,32.0069,,31.0981,33.75,0.5499999999999972,0.7471428571428557,2.2396368619390157
2020-05-22,EEM,32.67,32.84,32.56,-0.0207,0.0206,33.334,-1.9919601607967883,32.7435,32.7044,,32.0329,,31.1137,33.36,0.7999999999999972,0.7585714285714269,2.32192050373868
2020-05-26,EEM,33.39,33.84,33.35,0.022,0.0222,33.296,0.28231619413743747,32.7855,32.7697,,32.0862,,31.1363,32.67,1.1700000000000017,0.7942857142857126,2.3788131604843143
2020-05-27,EEM,33.49,33.57,33.1,0.003,0.021,33.332,0.4740189607584341,32.829,32.8383,,32.1412,,31.1598,33.39,0.46999999999999886,0.7728571428571414,2.30772512050505
2020-05-28,EEM,33.26,33.76,33.24,-0.0069,0.0149,33.234,0.07823313474151847,32.8135,32.8785,,32.1851,,31.1807,33.49,0.519999999999996,0.6557142857142841,1.9714801133923159
2020-05-29,EEM,33.84,33.9,33.26,0.0174,0.016,33.33,1.5301530153015455,32.8625,32.97,,32.25,,31.2071,33.26,0.6400000000000006,0.6914285714285698,2.0432286389733147
2020-06-01,EEM,34.62,34.64,34.09,0.023,0.0175,33.72,2.6690391459074694,33.01,33.1272,,32.3429,,31.2411,33.84,0.7999999999999972,0.7071428571428555,2.042584798217376
