Date,Ticker,Open,Close,High,Low,Volume
2015-04-06,EEM,33.38,33.49,33.68,33.35,54678400
2015-04-07,EEM,33.42,33.32,33.52,33.32,33279500
2015-04-08,EEM,34.09,34.02,34.15,33.84,65023100
2015-04-09,EEM,34.22,34.36,34.38,34.1,52128800
2015-04-10,EEM,34.21,34.38,34.39,34.18,49899000
2015-04-13,EEM,34.45,34.18,34.57,34.17,55031100
2015-04-14,EEM,34.26,34.34,34.41,34.11,42601100
2015-04-15,EEM,34.33,34.58,34.59,34.26,40254700
2015-04-16,EEM,34.67,34.85,35.05,34.62,55057700
2015-04-17,EEM,34.12,34.24,34.3,34.04,76688000
2015-04-20,EEM,34.2,34.21,34.31,34.17,28811300
2015-04-21,EEM,34.5,34.41,34.57,34.39,33309100
2015-04-22,EEM,34.64,34.78,34.81,34.55,29271900
2015-04-23,EEM,34.69,35.03,35.11,34.67,32056500
2015-04-24,EEM,35.18,35.16,35.2,35.1,44030100
2015-04-27,EEM,35.3,35.3,35.38,35.23,41819300
2015-04-28,EEM,35.31,35.35,35.43,35.2,32442100
2015-04-29,EEM,35.0,34.91,35.1,34.82,45752900
2015-04-30,EEM,34.63,34.38,34.64,34.38,98330200
2015-05-01,EEM,34.55,34.59,34.69,34.38,44928900
2015-05-04,EEM,34.61,34.79,34.85,34.59,31314300
2015-05-05,EEM,34.63,34.42,34.68,34.41,38738700
2015-05-06,EEM,34.46,33.99,34.5,33.93,52439700
2015-05-07,EEM,33.79,33.94,33.95,33.73,44347000
2015-05-08,EEM,34.34,34.38,34.54,34.23,56822800
2015-05-11,EEM,34.34,34.05,34.39,34.01,34705400
2015-05-12,EEM,33.78,33.93,34.02,33.76,38432500
2015-05-13,EEM,34.25,34.0,34.31,33.97,41156700
2015-05-14,EEM,34.23,34.34,34.39,34.18,37071400
2015-05-15,EEM,34.31,34.6,34.61,34.23,40940700
2015-05-18,EEM,34.41,34.25,34.42,34.23,35675300
2015-05-19,EEM,34.33,34.3,34.35,34.24,32065300
2015-05-20,EEM,34.23,34.28,34.38,34.11,37659200
2015-05-21,EEM,34.03,34.16,34.18,33.98,27575700
2015-05-22,EEM,34.34,34.27,34.38,34.2,37907000
2015-05-26,EEM,34.05,33.73,34.06,33.62,51008600
2015-05-27,EEM,33.46,33.73,33.76,33.41,35464700
2015-05-28,EEM,33.22,33.29,33.33,33.1,42689100
2015-05-29,EEM,33.24,32.97,33.27,32.93,59462200
2015-06-01,EEM,32.99,32.84,33.0,32.77,52509700
2015-06-02,EEM,32.81,32.97,33.12,32.76,42331700
2015-06-03,EEM,32.83,32.8,32.92,32.72,39291400
2015-06-04,EEM,32.52,32.31,32.62,32.29,46637300
2015-06-05,EEM,32.06,32.16,32.32,32.0,51982800
2015-06-08,EEM,32.21,32.15,32.25,32.12,34008200
2015-06-09,EEM,32.03,31.96,32.05,31.92,33384100
2015-06-10,EEM,32.27,32.43,32.47,32.25,64828100
2015-06-11,EEM,32.35,32.27,32.35,32.18,33808000
2015-06-12,EEM,32.27,32.27,32.31,32.17,40975900
2015-06-15,EEM,31.88,31.91,31.95,31.81,34097000
2015-06-16,EEM,31.79,31.91,31.96,31.73,33605900
2015-06-17,EEM,31.92,32.11,32.29,31.74,70505900
2015-06-18,EEM,32.35,32.4,32.52,32.3,60019000
2015-06-19,EEM,32.25,32.12,32.36,32.12,55891700
2015-06-22,EEM,32.68,32.59,32.69,32.55,45009800
2015-06-23,EEM,32.72,32.91,32.92,32.71,40579100
2015-06-24,EEM,32.88,32.68,32.93,32.68,56107100
2015-06-25,EEM,32.72,32.56,32.73,32.54,33663800
2015-06-26,EEM,32.27,32.26,32.43,32.22,34721500
2015-06-29,EEM,31.74,31.54,31.86,31.53,59610800
2015-06-30,EEM,32.1,32.01,32.12,31.89,61266600
2015-07-01,EEM,32.18,31.98,32.2,31.91,38622300
2015-07-02,EEM,32.18,32.13,32.33,32.11,34085800
2015-07-06,EEM,31.28,31.24,31.46,31.12,66892500
2015-07-07,EEM,30.65,30.77,30.83,30.22,100698500
2015-07-08,EEM,29.95,29.71,30.09,29.66,93899000
2015-07-09,EEM,30.62,30.29,30.72,30.28,72889000
2015-07-10,EEM,31.04,31.05,31.16,30.85,64726600
2015-07-13,EEM,31.25,31.26,31.34,31.18,43846200
2015-07-14,EEM,31.12,31.32,31.34,31.08,30252200
2015-07-15,EEM,31.13,30.96,31.15,30.93,44039400
2015-07-16,EEM,31.31,31.35,31.4,31.22,36217600
2015-07-17,EEM,31.4,31.31,31.41,31.25,35714800
2015-07-20,EEM,31.01,31.11,31.17,30.87,31707000
2015-07-21,EEM,31.25,31.12,31.27,31.09,27625400
2015-07-22,EEM,30.86,30.67,30.87,30.64,39326800
2015-07-23,EEM,30.66,30.37,30.68,30.35,42787700
2015-07-24,EEM,30.12,29.94,30.13,29.78,55194200
2015-07-27,EEM,29.44,29.37,29.55,29.3,73051800
2015-07-28,EEM,29.6,29.67,29.7,29.4,49701300
2015-07-29,EEM,29.74,29.96,30.09,29.65,61119900
2015-07-30,EEM,29.63,29.66,29.72,29.48,44051400
2015-07-31,EEM,29.95,29.99,30.1,29.86,85020500
2015-08-03,EEM,29.62,29.49,29.65,29.37,45674700
2015-08-04,EEM,29.74,29.59,29.83,29.5,38618400
2015-08-05,EEM,29.87,29.6,29.9,29.54,30785300
2015-08-06,EEM,29.44,29.34,29.46,29.26,42182300
2015-08-07,EEM,29.34,29.32,29.45,29.26,37027200
2015-08-10,EEM,29.5,29.82,29.88,29.47,43071900
2015-08-11,EEM,29.11,29.16,29.2,28.9,58642500
2015-08-12,EEM,28.64,28.71,28.72,28.48,64540000
2015-08-13,EEM,28.72,28.66,28.85,28.61,58165600
2015-08-14,EEM,28.73,28.7,28.82,28.67,35715200
2015-08-17,EEM,28.29,28.39,28.42,28.23,42609500
2015-08-18,EEM,28.07,28.08,28.15,27.98,42639500
2015-08-19,EEM,27.87,27.73,28.02,27.51,112308600
2015-08-20,EEM,27.36,27.3,27.44,27.22,116628600
2015-08-21,EEM,26.89,26.46,27.02,26.42,129140200
2015-08-24,EEM,24.66,25.3,26.03,24.23,218802300
2015-08-25,EEM,26.87,25.62,26.88,25.62,135001800
2015-08-26,EEM,26.26,26.47,26.58,25.78,134618500
2015-08-27,EEM,26.99,27.64,27.69,26.98,144856300
2015-08-28,EEM,27.22,27.29,27.47,27.13,68659200
2015-08-31,EEM,27.09,27.34,27.38,26.85,98538600
2015-09-01,EEM,26.5,26.28,26.67,26.14,83635900
2015-09-02,EEM,26.69,26.66,26.7,26.36,55551000
2015-09-03,EEM,26.71,26.76,27.12,26.67,67468200
2015-09-04,EEM,26.26,25.96,26.34,25.81,81962800
2015-09-08,EEM,26.67,26.79,26.83,26.54,53584300
2015-09-09,EEM,27.29,26.65,27.34,26.65,56389200
2015-09-10,EEM,26.72,26.92,27.09,26.66,49745400
2015-09-11,EEM,26.85,27.03,27.06,26.8,42195900
2015-09-14,EEM,26.94,26.99,27.02,26.78,39313800
2015-09-15,EEM,26.98,27.25,27.32,26.95,51913600
2015-09-16,EEM,27.69,27.91,28.02,27.65,85209600
2015-09-17,EEM,27.69,27.85,28.56,27.68,105902400
2015-09-18,EEM,27.57,27.33,27.77,27.22,90964900
2015-09-21,EEM,27.34,27.28,27.39,27.17,45318300
2015-09-22,EEM,26.69,26.77,26.8,26.56,58874100
2015-09-23,EEM,26.65,26.34,26.68,26.33,44721000
2015-09-24,EEM,25.93,26.23,26.36,25.8,79880800
2015-09-25,EEM,26.61,26.17,26.61,26.13,59861600
2015-09-28,EEM,25.96,25.62,25.97,25.54,58659500
2015-09-29,EEM,25.7,25.74,25.87,25.56,52829500
2015-09-30,EEM,26.41,26.48,26.54,26.24,80422200
2015-10-01,EEM,26.7,26.63,26.75,26.42,48402600
2015-10-02,EEM,26.5,27.34,27.34,26.41,83904700
2015-10-05,EEM,27.65,27.93,27.94,27.6,77869000
